timestamp_ms,round,phase,p1_health,p1_damage,p2_health,p2_damage
0,0,battle,100.0,0.0,100.0,0.0
100,0,intro,100.0,0.0,100.0,0.0
4900,0,intro,61.3,22.5,100.0,0.0
5000,0,intro,59.4,21.7,100.0,0.0
5100,0,intro,57.6,20.5,100.0,0.0
5200,0,intro,57.0,21.1,100.0,0.0
5300,0,intro,57.0,19.3,96.7,3.3
5400,0,intro,57.0,18.4,96.7,2.9
5500,0,intro,57.0,15.4,96.7,2.0
5600,0,intro,57.0,14.1,96.7,1.8
5700,0,intro,57.0,8.6,96.7,2.0
5800,0,intro,57.0,1.2,94.7,5.3
5900,0,intro,57.0,0.0,94.7,1.4
6000,0,intro,57.0,0.0,94.7,1.6
6100,0,intro,57.0,0.0,61.5,3.3
6200,0,intro,57.0,0.0,61.5,1.2
6300,0,battle,57.0,8.2,45.7,19.1
6400,0,battle,57.0,6.8,45.7,13.5
6500,0,battle,57.0,12.5,45.7,15.2
6600,0,battle,57.0,3.7,45.7,4.5
6700,0,intro,57.0,10.7,45.7,0.0
6800,0,intro,57.0,4.3,45.7,0.0
6900,0,battle,57.0,3.9,45.7,0.0
7000,0,battle,57.0,3.5,45.7,0.0
7100,0,battle,57.0,3.9,45.7,0.0
7200,0,intro,57.0,3.7,45.7,0.0
7300,0,intro,57.0,3.9,45.7,0.0
7400,0,intro,57.0,0.0,45.7,0.0
7500,0,intro,100.0,0.0,100.0,0.0
7900,0,battle,100.0,0.0,100.0,0.0
11600,0,battle,100.0,0.0,97.5,2.5
12100,0,battle,100.0,0.0,97.5,2.3
12200,0,battle,100.0,0.0,97.5,1.8
12300,0,battle,97.1,2.9,97.5,0.8
12400,0,battle,97.1,2.9,97.5,0.6
12500,0,battle,97.1,2.9,97.5,0.4
12600,0,battle,97.1,2.9,97.5,0.0
12800,0,battle,97.1,1.0,97.5,0.0
13200,0,battle,97.1,0.8,97.5,0.0
13400,0,battle,97.1,1.0,97.5,0.0
13600,0,battle,97.1,0.0,96.3,3.7
13700,0,battle,97.1,0.0,96.3,0.0
15200,0,battle,95.1,0.2,96.3,0.0
15300,0,battle,95.1,0.0,96.3,0.0
15500,0,battle,95.1,0.0,92.6,6.1
