timestamp_ms,time,event_type,target,damage,p1_health,p2_health,description,comment
7500,7.5,round_start,-,0.0,100.0,100.0,,
11600,11.6,p2_damage,p2,2.5,100.0,97.5,,
12300,12.3,p1_damage,p1,2.9,97.1,97.5,,
15200,15.2,exchange,both,3.7,95.1,92.6,,
15900,15.9,p2_damage,p2,6.5,95.1,86.1,,
17400,17.4,p2_damage,p2,4.1,95.1,82.0,,
21000,21.0,p1_damage,p1,2.3,92.8,81.8,,
26100,26.1,exchange,both,6.6,86.5,74.8,,
30300,30.3,p2_damage,p2,16.2,86.5,58.4,,
31400,31.4,p1_damage,p1,7.8,78.7,58.4,,
33000,33.0,p1_damage,p1,3.3,74.8,58.4,,
36000,36.0,p1_damage,p1,14.2,60.2,58.4,,
41900,41.9,p2_damage,p2,19.1,60.2,39.3,,
45600,45.6,p1_damage,p1,7.3,52.5,39.3,,
46900,46.9,p1_damage,p1,7.0,45.5,39.3,,
47700,47.7,p1_damage,p1,4.3,41.2,39.3,,
48500,48.5,p1_damage,p1,3.1,38.1,39.3,,
50000,50.0,exchange,both,17.6,30.3,21.7,,
51500,51.5,p2_damage,p2,6.9,30.3,14.8,,
53000,53.0,p2_damage,p2,2.9,30.3,11.9,,
53700,53.7,p2_damage,p2,2.1,30.3,9.8,,
54300,54.3,p2_damage,p2,2.4,30.3,7.4,,
58400,58.4,p1_damage,p1,4.5,25.8,7.4,,
59000,59.0,p1_damage,p1,3.7,22.1,7.4,,
59600,59.6,p1_damage,p1,5.3,16.8,7.4,,
69600,69.6,p2_damage,p2,5.2,12.9,1.2,,
70900,70.9,ko,p2,0.0,12.9,1.0,,
76200,76.2,round_start,-,0.0,100.0,100.0,,
